meanTemp,maxTemp,recordMinTemp,averageMinTemp,minTemp,averageMaxTemp,recordMaxTemp,day,month
25,36,-12,14,13,30,51,1,1
24,35,-14,14,13,30,55,2,1
32,35,-14,14,29,30,55,3,1
16,33,-17,14,-2,30,57,4,1
2,8,-22,14,-5,30,61,5,1
2,10,-15,14,-6,30,57,6,1
-3,6,-14,14,-12,30,55,7,1
4,22,-15,14,-14,30,64,8,1
1,11,-13,14,-10,30,55,9,1
8,26,-22,14,-10,30,55,10,1
20,31,-14,14,8,30,55,11,1
14,23,-21,14,5,30,57,12,1
10,19,-12,14,0,30,59,13,1
14,26,-23,14,1,30,55,14,1
26,37,-21,14,15,30,55,15,1
27,39,-25,14,15,30,55,16,1
38,43,-18,14,32,30,55,17,1
33,44,0.00,27,14,30,22,18,1
32,43,-17,14,20,30,55,19,1
34,43,-23,14,25,30,50,20,1
34,36,-21,14,31,30,60,21,1
30,32,-14,14,28,30,57,22,1
31,40,-21,14,22,30,54,23,1
36,49,-14,15,22,30,60,24,1
27,36,-12,15,18,30,61,25,1
30,41,0.02,25,15,31,18,26,1
32,36,-18,15,27,31,62,27,1
33,38,-24,15,27,31,53,28,1
31,36,-22,15,25,31,59,29,1
24,31,-14,15,17,31,60,30,1
29,37,-18,15,21,31,68,31,1
23,33,-13,15,13,31,65,1,2
6,14,-14,15,-2,31,59,2,2
12,23,-19,16,0,31,59,3,2
10,20,-12,16,0,32,57,4,2
1,14,-15,16,-13,32,57,5,2
19,34,-15,16,4,32,52,6,2
30,43,-11,16,17,32,60,7,2
36,42,-12,16,29,32,59,8,2
24,30,-16,17,17,32,57,9,2
23,31,-17,17,15,33,60,10,2
24,36,T,17,17,33,11,11,2
9,14,-13,17,4,33,66,12,2
20,31,-10,18,8,33,64,13,2
14,26,0,18,2,34,66,14,2
6,10,-7,18,2,34,64,15,2
14,21,-15,18,7,34,63,16,2
16,22,-17,19,9,35,66,17,2
5,11,-8,19,-1,35,66,18,2
2,9,-8,19,-5,35,61,19,2
18,31,-10,20,5,36,63,20,2
25,32,-10,20,17,36,61,21,2
9,17,-8,20,1,37,63,22,2
3,13,-7,21,-7,37,62,23,2
24,38,-9,21,9,37,68,24,2
19,22,-10,21,15,38,59,25,2
