day,year,meanTemp,maxTemp,minTemp
1,1948,31,39,61
2,1948,30,38,66
3,1948,30,38,68
4,1948,29,37,71
5,1948,29,37,68
6,1948,28,36,62
7,1948,28,36,58
8,1948,28,35,55
9,1948,27,35,56
10,1948,27,35,59
11,1948,26,34,60
12,1948,26,34,61
13,1948,26,33,63
14,1948,25,33,60
15,1948,25,33,54
16,1948,25,32,58
17,1948,24,32,52
18,1948,24,32,57
19,1948,24,31,57
20,1948,24,31,56
21,1948,23,31,58
22,1948,23,31,57
23,1948,23,31,59
24,1948,23,30,59
25,1948,23,30,55
26,1948,22,30,53
27,1948,22,30,57
28,1948,22,30,67
29,1948,22,30,66
30,1948,22,30,62
31,1948,22,30,60
1,1949,29,31,39
2,1949,30,30,44
3,1949,44,30,57
4,1949,36,29,45
5,1949,32,29,44
6,1949,36,28,50
7,1949,24,28,30
8,1949,16,28,24
9,1949,18,27,28
10,1949,36,27,45
11,1949,47,26,66
12,1949,20,26,25
13,1949,18,26,24
14,1949,10,25,19
15,1949,19,25,35
16,1949,31,25,43
17,1949,38,24,48
18,1949,34,24,42
19,1949,39,24,44
20,1949,36,24,44
21,1949,22,23,26
22,1949,13,23,19
23,1949,10,23,19
24,1949,20,23,35
25,1949,32,23,39
26,1949,21,22,28
27,1949,26,22,37
28,1949,32,22,46
29,1949,34,22,41
30,1949,36,22,46
31,1949,40,22,43
1,1950,26,31,35
2,1950,30,30,36
3,1950,22,30,28
4,1950,21,29,32
5,1950,23,29,34
6,1950,10,28,12
7,1950,12,28,21
8,1950,20,28,25
9,1950,17,27,24
10,1950,16,27,23
11,1950,18,26,24
12,1950,23,26,27
13,1950,22,26,26
14,1950,26,25,32
15,1950,12,25,19
16,1950,7,25,14
17,1950,0,24,8
18,1950,2,24,16
19,1950,14,24,21
20,1950,7,24,21
21,1950,23,23,36
22,1950,28,23,34
23,1950,30,23,42
24,1950,24,23,37
25,1950,12,23,14
26,1950,3,22,12
27,1950,0,22,15
28,1950,20,22,32
29,1950,12,22,18
30,1950,19,22,33
31,1950,24,22,37
1,1951,42,31,57
2,1951,48,30,62
3,1951,52,30,64
4,1951,39,29,50
5,1951,42,29,46
6,1951,53,28,64
7,1951,42,28,48
8,1951,34,28,37
9,1951,24,27,30
10,1951,28,27,39
11,1951,22,26,34
12,1951,17,26,26
13,1951,14,26,19
14,1951,10,25,17
15,1951,-8,25,1
16,1951,-6,25,3
17,1951,10,24,18
18,1951,2,24,12
19,1951,9,24,25
20,1951,23,24,27
21,1951,4,23,10
22,1951,0,23,12
23,1951,2,23,12
24,1951,0,23,12
25,1951,17,23,25
26,1951,10,22,21
27,1951,4,22,21
28,1951,22,22,35
29,1951,26,22,39
30,1951,34,22,39
31,1951,30,22,44
1,1952,26,31,30
